price,area,reference,title,description,title dos,City,Apartment Type,Construction Stage,Floor Number,Bedrooms,Bathrooms,Furnished,Covered Parking,Construction Year,Internal Area,Covered Verandas,Roof Garden Area,Uncovered Verandas,Garden Area
350000,350000,41601,"Top floor two bedroom apartment for sale, Droshia area.","Top floor two bedroom apartment for sale, with 53sq.m. roof garden, in an area close to supermarkets, schools and many more. Open plan living and kitchen area, two bedrooms, master bedroom en-suite, large covered veranda, covered parking space and storage. On the roof there is a bathroom and a storage room. The project will be delivered before the end of 2027.","Apartment, For Sale, Larnaca, Drosia",Drosia,Penthouse,Off-plan,5,2,3,Unfurnished,1, 2025,81,29,53,,
190000,190000,41636,"Ground floor one bedroom apartment for sale, Livadia.","Ground floor one bedroom apartment for sale, in a gated complex with communal swimming pool,a kids pool, a modern fitness center and a Kids Playground. Open plan living and kitchen area, one bedroom en-suite and a quest w/c. and 24sq.m garden area.
The project will delivered by the end og 2027.","Apartment, For Sale, Larnaca, Livadia",Livadia,Ground Apartment,Off-plan,0,1,2,Unfurnished,, 0,53,12,,14,24
300000,300000,41631,"Top floor two bedroom apartment for sale, K cineplex area.","Top floor two bedroom apartment, with roof garden, under construction, in a nice area residential area, close to many amenities, schools and supermarkets. Open plan living and kitchen area, two bedrooms, two bathrooms, covered parking place, storage room, a large covered veranda and 59sq.m roof garden The project will be delivered April of 2025. The building has only eight apartments.","Apartment, For Sale, Larnaca, Kamares, K Cineplex",Kamares,Penthouse,Under Construction,4,2,2,Unfurnished,1, 2025,89,21,73,,
400000,400000,41585,"Top floor two bedroom apartment for sale, Larnaka center.","Top floor two bedroom apartment for sale, with 50sq.m. roof garden, walking distance to the city center, Agios Lazaros church and Phinikoudes beach. Open plan living and kitcen area, two bedrooms, master bedroom en-suite and a whole bathroom, covered parking space and a storage room. The project will be delivered by the end of 2027.","Apartment, For Sale, Larnaca, Larnaca Center, Faneromeni",Larnaca Center,Penthouse,Off-plan,4,2,2,Unfurnished,1, 2026,80,20,50,,
225000,225000,41600,"Two bedroom apartment for sale, Droshia area.","Two bedroom apartment for sale, in an area close to supermarkets, schools and many more. Open plan living and kitchen area, two bedrooms, master bedroom en-suite, large covered veranda, covered parking space and storage. The project will be delivered before the end of 2027.","Apartment, For Sale, Larnaca, Drosia",Drosia,Standard Apartment,Off-plan,1,2,2,Unfurnished,1, 2025,81,29,,,
230000,230000,41604,"Two bedroom apartment for sale, Mall area.","Two bedroom apartment, close to many amenities, located in a nice area, near the Metropolis Mall. Open plan living and kitchen area, two bedrooms, two bathrooms and a large covered veranda. An amazing new project, you will find the quality of life you were searching for. In an immense plot tranquility, safety and luxury are guaranteed. Delivery date beginning of 2027.","Apartment, For Sale, Larnaca, Metropolis Mall Area",Metropolis Mall Area,Standard Apartment,Under Construction,2,2,2,Unfurnished,, 2024,75,20,,,
265000,265000,41584,"Two bedroom apartment for sale, Larnaka center.","Two bedroom apartment for sale, walking distance to the city center, Agios Lazaros church and Phinikoudes beach. Open plan living and kitcen area, two bedrooms, master bedroom en-suite and a whole bathroom, covered parking space and a storage room. The project will be delivered by the end of 2027.","Apartment, For Sale, Larnaca, Larnaca Center, Faneromeni",Larnaca Center,Standard Apartment,Off-plan,1,2,2,Unfurnished,1, 2026,80,20,,,
214000,214000,41579,"Top floor two bedroom apartment for sale, Mall area.","Top floor two bedroom apartment for sale, located in a nice residential area, close to many amenities. Open plan living and kitchen area, two bedrooms, two bathrooms, a large covered veranda, covered space and storage room. The project will delivered by July of 2026.","Apartment, For Sale, Larnaca, Metropolis Mall Area",Metropolis Mall Area,Penthouse,Under Construction,3,2,2,Unfurnished,, 2025,82,23,,,
460000,460000,41546,"Three bedroom apartment for sale, Sotiros area.","Three bedroom apartment for sale, walking distance to the city center, Finikoudes beach and many amenities. The apartment is spacious, open plan living and kitchen area, three bedrooms, three bathrooms, large covered veranda, covered parking space and storage. High quality materials will be used, thermal aluminum windows with double glazing, security entrance and intercom system and photovoltaic will be used for the common areas. Delivery date July of 2026..","Apartment, For Sale, Larnaca, Sotiros",Sotiros,Standard Apartment,Off-plan,5,3,3,Unfurnished,1, 2025,110,32,,,
500000,500000,37092,"Top floor two bedroom apartment for sale, Livadia.","Top floor two bedroom apartment for sale, with 69sq.m. roof garden, in Livadia area, minutes drive to the beach and Larnaca center. Open plan living kitchen area, two bedrooms, two bathroom, mater bedroom en suite, a covered veranda, covered parking and storage room. On the roof there is an extra room. The project will be delivered by the end of 2027.","Apartment, For Sale, Larnaca, Livadia",Livadia,Penthouse,Off-plan,7,2,2,Unfurnished,1, 2025,80,21,69,,
330000,330000,41539,"Two bedroom apartment for sale, Livadia.","Two bedroom apartment for sale, minutes drive from the beach and amenities. Open plan living kitchen area, two bedrooms, two bathrooms, a covered veranda, covered parking and storage room. The project will be delivered by the end of 2027.","Apartment, For Sale, Larnaca, Livadia",Livadia,Standard Apartment,Off-plan,5,2,2,Unfurnished,1, 2025,80,21,,,
195000,195000,41530,"Two bedroom apartment for sale, Kiti.","Two bedroom aparment for sale, n a nice residential area, close to amenities, only 4km from the beach. Open plan living and kitchen area, two bedrooms, two bathrooms, private parking, storage room. The project has a common swimming poll and will be delivered by March of 2027.","Apartment, For Sale, Larnaca, Kiti",Kiti,Standard Apartment,Off-plan,1,2,2,Unfurnished,, 0,84,12,,,
